PERIMETER,DATA_ADMIN,WARD,ALDERMAN,CLASS,WARD_PHONE,HALL_PHONE,HALL_OFFIC,ADDRESS,EDIT_DATE1,SHAPE_AREA,SHAPE_LEN
142564.202394310006639,550722127.906298041343689,10,JOHN POPE,1,773-721-1999,312-744-3078,"121 N LASALLE ST, RM 300 OFFICE 19, 60602",3522 E  106TH                ST,20030527,550535374.361999988555908,143185.781839000002947
156882.637705050001387,170864955.083921998739243,2,ROBERT FIORETTI,1,312-263-9273,312-744-6836,"121 N LASALLE ST, RM 300 OFFICE 2, 60602",429 S DEARBORN,20030527,170864956.013000011444092,156882.635555999993812
67264.087283660002868,139276551.565537989139557,14,EDWARD M. BURKE,1,773-471-1414,312-744-3380,121 N LASALLE ST RM 302 60602,2650 W  51ST                 ST,20020301,139217561.381000012159348,67144.501084899995476
39847.516857310001797,84401669.817818403244019,22,RICARDO MUNOZ,2,773-762-1771,312-744-9491,"121 N LASALLE ST, RM 300 OFFICE 22, 60602",2500 S  ST LOUIS             AV,20030527,84286652.658199995756149,39985.053405400001793
63655.194554009998683,62838373.898079700767994,35,REY COLON,2,773-365-3535,312-744-6835,"121 N LASALLE ST, RM 209, OFFICE 18",2710 N SAWYER AVE,20030527,62726681.300300002098083,65306.709979400002339
92400.971150020006462,110545782.67264199256897,32,SCOTT WAGUESPACK,1,773-248-1330,312-744-6567,"121 N LASALLE ST, RM 300, 60602",2657 N CLYBOURN,20030527,110545782.745000004768372,92400.970042100001592
56192.472268120000081,102315201.793427005410194,17,LATASHA R. THOMAS,4,773-723-0908,312-744-7738,121 N LASALLE ST RM 209 OFFICE 20 60602,7811 S RACINE AVE,20030527,102315201.95100000500679,56192.471518600003037
64052.890536829996563,149890005.047852993011475,21,"HOWARD B BROOKINS, JR.",3,773-881-9300,312-744-4810,121 N LASALLE ST RM 209 OFFICE 19 60602,9612 S HALSTED ST,20030527,150503027.590999990701675,64081.068258599996625
79305.166854359995341,92102230.234627395868301,16,JOANN THOMPSON,5,773-434-3399,312-744-3069,"121 N LASALLE ST, RM 300 OFFICE 14, 60602",5335 S WESTERN BLVD,20030527,92102230.182199999690056,79305.165980299992952
79055.789769480004907,146549229.350230991840363,45,JOHN ARENA,1,773-545-2545,312-744-6841,"121 N LASALLE ST, RM 305, 60602",5205 N  MILWAUKEE AVE,20020301,146549227.926999986171722,79055.790073900003335
55326.068153660002281,85995447.696673095226288,OUT,,,,,,,,86025050.792500004172325,55356.475659600000654
63341.060781890002545,73963122.184272900223732,42,BRENDAN REILLY,2,312-642-4242,312-744-3062,121 N LASALLE ST RM 306 60602,325 W HURON ST #510,20020301,73944101.62440000474453,63336.74389599999995
79866.614798540002084,147062011.400824993848801,13,MARTY QUINN,2,773-581-8000,312-744-3076,121 N LASALLE ST RM 209 OFFICE 17 60602,6500 S  PULASKI              RD,20020301,147062013.166000008583069,79866.620725700006005
92798.756653019998339,74072854.503288194537163,1,JOE MORENO,0,773-278-0101,312-744-3063,"121 N LASALLE ST, RM 300 OFFICE 5, 60602",2058 N WESTERN AVE,20030527,74072854.838200002908707,92798.755949400001555
74354.442077639992931,121086834.261107996106148,38,TIMOTHY CULLERTON,2,773-545-3838,312-744-6811,"121 N LASALLE ST, RM 203 OFFICE 12, 60602",5817 W  IRVING PARK RD,20030527,121086834.74600000679493,74354.442666000002646
7959.003608930000155,3540729.06344285979867,OUT,,,,,,,,3376469.550809999927878,7866.626695990000371
67897.099808970000595,66029289.762524701654911,43,MICHELLE SMITH,4,773-327-9111,312-744-3071,"121 N LASALLE ST, RM 209, OFFICE 19",735 W  WRIGHTWOOD           AV,20020301,66125357.45380000025034,67950.560666499994113
76086.877012419994571,96874458.362976998090744,29,DEBORAH GRAHAM,1,773-261-4646,312-744-3070,"121 N LASALLE ST, RM 300, 60602",5755 W DIVISION ST,2010607,96874453.748199999332428,76086.870746300002793
98206.786002740002004,111078823.373938992619514,20,WILLIE COCHRAN,1,773-955-5610,312-744-6840,"121 N LASALLE ST, RM 300 OFFICE 19, 60602",6357 S COTTAGE GROVE,20030527,111200062.771999999880791,98166.052905599994119
